"gene","transcripts"
"A1BG","NM_130786"
"A1BG-AS1","NR_015380"
"A1CF","NM_138933,NM_138932,NM_014576,NM_001198820,NM_001198818,NM_001198819"
"A2M","NM_000014"
"A2M-AS1","NR_026971"
"A2ML1","NM_144670,NM_001282424"
"A2MP1","NR_040112"
"A3GALT2","NM_001080438"
"A4GALT","NM_017436"
"A4GNT","NM_016161"
"AA06","NR_037584"
"AAAS","NM_001173466,NM_015665"
"AACS","NM_023928"
"AACSP1","NR_024035"
"AADAC","NM_001086"
"AADACL2","NM_207365,NM_207365_1"
"AADACL2-AS1","NR_110202,NR_110203,NR_110202_1,NR_110203_1"
"AADACL3","NM_001103170,NR_111984"
"AADACL4","NM_001013630"
"AADACP1","NR_026915"
"AADAT","NM_182662,NM_001286683,NM_001286682,NM_016228"
"AAED1","NM_153698"
"AAGAB","NM_024666,NM_001271885,NM_001271886"
"AAK1","NM_014911"
"AAMDC","NM_024684"
"AAMP","NM_001302545,NM_001087"
"AANAT","NM_001166579,NR_110548,NM_001088"
"AAR2","NM_001271874,NM_015511"
"AARD","NM_001025357"
"AARS","NM_001605"
"AARS2","NM_020745"
"AARSD1","NM_001261434"
"AASDH","NM_001286670,NM_001286671,NM_181806,NM_001286669,NM_001286668,NM_001286672"
"AASDHPPT","NM_015423"
"AASS","NM_005763"
"AATBC","NR_026961"
"AATF","NM_012138,NM_012138_1"
"AATK","NM_004920,NM_001080395"
"AATK-AS1","NR_027255"
"ABALON","NR_131907"
"ABAT","NM_020686,NM_000663,NM_001127448"
"ABCA1","NM_005502"
"ABCA10","NM_080282"
"ABCA11P","NR_002451"
"ABCA12","NR_103740,NM_015657,NM_173076"
"ABCA13","NM_152701"
"ABCA17P","NR_003574"
"ABCA2","NM_212533,NM_001606"
"ABCA3","NM_001089"
"ABCA4","NM_000350"
"ABCA5","NM_018672,NM_172232"
"ABCA6","NM_080284"
"ABCA7","NM_019112"
"ABCA8","NM_007168,NM_001288985,NM_001288986"
"ABCA9","NM_080283"
"ABCA9-AS1","NR_126414"
"ABCB1","NM_000927"
"ABCB10","NM_012089"
"ABCB11","NM_003742,NM_003742_1"
"ABCB4","NM_018849,NM_000443,NM_018850"
"ABCB5","NM_001163941,NM_001163942,NM_001163993,NM_178559"
"ABCB6","NM_005689"
"ABCB7","NM_001271696,NM_001271697,NM_001271698,NM_001271699,NM_004299"
"ABCB8","NM_001282292,NM_001282293,NM_001282291,NM_007188"
