name,logrank_p_value,FDR,Bonferroni
A1BG,0.01592338362580748,0.12936829690446608,1.0
A1BG-AS1,0.06250468428473725,0.285720910138186,1.0
ARHGEF25,0.24182800592064818,0.6392803716574535,1.0
A1CF,0.5437255582992917,1.0,1.0
ARHGEF26,0.10103545134205615,0.37983685426869623,1.0
CELA1,1.0,1.0,1.0
CELA2A,1.0,1.0,1.0
C1QB,0.6676761411480543,1.0,1.0
CELA2B,1.0,1.0,1.0
CELA3A,1.0,1.0,1.0
CELA3B,1.0,1.0,1.0
ARHGEF26-AS1,0.4855413246984467,0.950803393000503,1.0
C1QBP,0.17314646777138876,0.5237499748444255,1.0
CELF1,0.018036739220500492,0.1386390386470871,1.0
C1QC,0.6286258750922429,1.0,1.0
CXCL2,0.16433588582306635,0.508465947456309,1.0
A2M,0.2880085404089621,0.70756535510216,1.0
CELF2,0.08012616080333326,0.33192966739823043,1.0
CELF2-AS1,1.0,1.0,1.0
CELF2-AS2,1.0,1.0,1.0
A2M-AS1,0.5095475232610471,0.9761339689180635,1.0
CXCL3,0.09036588663405151,0.35617093820503193,1.0
A2ML1,1.0,1.0,1.0
CELF3,0.30257995816454625,0.7284230056927112,1.0
ARHGEF28,0.21741653402236052,0.6018308675246454,1.0
EHMT1,0.6904204300195484,1.0,1.0
CXCL5,0.013137075056448944,0.11567291054376606,1.0
A2MP1,0.8254231076402334,1.0,1.0
A3GALT2,1.0,1.0,1.0
ARHGEF3,0.1442824421409741,0.4703087552499818,1.0
ARHGEF3-AS1,1.0,1.0,1.0
EHMT1-IT1,0.9380384231709951,1.0,1.0
C1QL1,0.25737296804905274,0.6624641376615154,1.0
C1QL2,1.0,1.0,1.0
A4GALT,0.4360302987095589,0.8982101577352931,1.0
A4GNT,1.0,1.0,1.0
AA06,1.0,1.0,1.0
ARHGEF33,0.4268983538404866,0.886239937449067,1.0
EHMT2,0.0016911167429609609,0.03745260137749161,1.0
C1QL3,0.25734030951633424,0.6624641376615154,1.0
AAAS,0.002508864151715951,0.04511508951756427,1.0
ARHGEF34P,0.9339741585389499,1.0,1.0
CELF4,0.03141949885677973,0.19199615450301755,1.0
