name,logrank_p_value,max_time
A1BG,0.01592338362580748,3675.0
A1BG-AS1,0.06250468428473725,3675.0
ARHGEF25,0.24182800592064818,3675.0
A1CF,0.5437255582992917,3675.0
ARHGEF26,0.10103545134205615,3675.0
C1QB,0.6676761411480543,3675.0
CELA1,1.0,3675.0
CELA2A,1.0,3675.0
CELA2B,1.0,3675.0
CELA3A,1.0,3675.0
CELA3B,1.0,3675.0
A2M,0.2880085404089621,3675.0
ARHGEF26-AS1,0.4855413246984467,3675.0
C1QBP,0.17314646777138876,3675.0
A2M-AS1,0.5095475232610471,3675.0
A2ML1,1.0,3675.0
ARHGEF28,0.21741653402236052,3675.0
CELF1,0.018036739220500492,3675.0
C1QC,0.6286258750922429,3675.0
A2MP1,0.8254231076402334,3675.0
A3GALT2,1.0,3675.0
ARHGEF3,0.1442824421409741,3675.0
ARHGEF3-AS1,1.0,3675.0
CELF2,0.08012616080333326,3675.0
CELF2-AS1,1.0,3675.0
CELF2-AS2,1.0,3675.0
C1QL1,0.25737296804905274,3675.0
C1QL2,1.0,3675.0
CXCL2,0.16433588582306635,3675.0
A4GALT,0.4360302987095589,3675.0
A4GNT,1.0,3675.0
ARHGEF33,0.4268983538404866,3675.0
AA06,1.0,3675.0
CELF3,0.30257995816454625,3675.0
C1QL3,0.25734030951633424,3675.0
CXCL3,0.09036588663405151,3675.0
ARHGEF34P,0.9339741585389499,3675.0
EHMT1,0.6904204300195484,3675.0
AAAS,0.002508864151715951,3675.0
CELF4,0.03141949885677973,3675.0
C1QL4,0.13770464472960373,3675.0
CXCL5,0.013137075056448944,3675.0
ARHGEF35,0.5795316990183514,3675.0
AACS,0.002317463151524829,3675.0
EHMT1-IT1,0.9380384231709951,3675.0
AACSP1,1.0,3675.0
CELF5,0.44974719104767835,3675.0
C1QTNF1,0.43776880985020805,3675.0
CXCL6,0.09658954194847531,3675.0
ARHGEF37,0.05029156713650817,3675.0
EHMT2,0.0016911167429609609,3675.0
AADAC,0.3188229926060835,3675.0
AADACL2,1.0,3675.0
AADACL2-AS1,1.0,3675.0
CELF6,0.6422869959999349,3675.0
AADACL3,1.0,3675.0
AADACL4,1.0,3675.0
C1QTNF1-AS1,0.16742474424176898,3675.0
CXCL8,0.00013158508576325515,3675.0
