mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-let-7a-2-3p,1.0,1.0,1.0,0,4,0.0,540,26380,0.02047005307050796,0.0
hsa-let-7a-3p,0.23379489203506448,1.0,1.0,1,4,0.25,1699,26380,0.06440485216072782,3.8816951147733962
hsa-let-7a-5p,0.6101436960117873,1.0,1.0,2,4,0.5,11889,26380,0.4506823351023503,1.109428883842207
hsa-let-7b-3p,0.2819193807258306,1.0,1.0,1,4,0.25,2096,26380,0.07945413191811979,3.146469465648855
hsa-let-7b-5p,0.22762579723665263,1.0,1.0,3,4,0.75,11594,26380,0.43949962092494316,1.7064861135069862
hsa-let-7c-3p,1.0,1.0,1.0,0,4,0.0,204,26380,0.007733131159969674,0.0
hsa-let-7c-5p,0.516996777404037,1.0,1.0,2,4,0.5,10433,26380,0.39548900682335103,1.2642576440141857
hsa-let-7d-3p,0.11548817992869297,1.0,1.0,1,4,0.25,797,26380,0.030212282031842303,8.274780426599749
hsa-let-7d-5p,0.5477942476447684,1.0,1.0,2,4,0.5,10905,26380,0.4133813495072024,1.2095369096744613
hsa-let-7e-3p,1.0,1.0,1.0,0,4,0.0,562,26380,0.02130401819560273,0.0
hsa-let-7e-5p,0.5361726464823682,1.0,1.0,2,4,0.5,10726,26380,0.4065959059893859,1.2297221704269998
hsa-let-7f-1-3p,0.12375732590393364,1.0,1.0,1,4,0.25,857,26380,0.032486732373009856,7.695449241540256
hsa-let-7f-2-3p,0.3753912792549091,1.0,1.0,1,4,0.25,2928,26380,0.1109931766489765,2.252390710382514
hsa-let-7f-5p,0.4769711566876171,1.0,1.0,2,4,0.5,9829,26380,0.372592873388931,1.341947298809645
hsa-let-7g-3p,0.046287334592075936,0.8758987930500522,1.0,2,4,0.5,2471,26380,0.09366944655041698,5.337919870497775
hsa-let-7g-5p,0.530105792019556,1.0,1.0,2,4,0.5,10633,26380,0.4030705079605762,1.2404777579234458
hsa-let-7i-3p,0.2755105030472676,1.0,1.0,1,4,0.25,2042,26380,0.077407126611069,3.229676787463271
hsa-let-7i-5p,0.5515434852128167,1.0,1.0,2,4,0.5,10963,26380,0.4155799848369977,1.2031378272370703
hsa-miR-1-3p,0.6777562809987473,1.0,1.0,1,4,0.25,6504,26380,0.24655041698256255,1.013991389913899
hsa-miR-100-3p,1.0,1.0,1.0,0,4,0.0,842,26380,0.03191811978771797,0.0
hsa-miR-100-5p,1.0,1.0,1.0,0,4,0.0,1069,26380,0.04052312357846854,0.0
hsa-miR-101-2-5p,1.0,1.0,1.0,0,4,0.0,4,26380,0.00015163002274450342,0.0
hsa-miR-101-3p,0.3035734293489784,1.0,1.0,2,4,0.5,7240,26380,0.2744503411675512,1.8218232044198894
hsa-miR-101-5p,1.0,1.0,1.0,0,4,0.0,787,26380,0.029833206974981045,0.0
hsa-miR-10393-5p,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-10394-3p,1.0,1.0,1.0,0,4,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-10395-3p,1.0,1.0,1.0,0,4,0.0,16,26380,0.0006065200909780137,0.0
hsa-miR-10399-3p,1.0,1.0,1.0,0,4,0.0,136,26380,0.005155420773313116,0.0
hsa-miR-10399-5p,1.0,1.0,1.0,0,4,0.0,279,26380,0.010576194086429113,0.0
hsa-miR-103a-1-5p,0.06924421470118688,0.996517680260492,1.0,1,4,0.25,469,26380,0.017778620166793026,14.061833688699359
hsa-miR-103a-2-5p,1.0,1.0,1.0,0,4,0.0,1061,26380,0.04021986353297953,0.0
hsa-miR-103a-3p,0.4631342726028731,1.0,1.0,2,4,0.5,9622,26380,0.36474601971190296,1.3708168779879444
hsa-miR-103b,1.0,1.0,1.0,0,4,0.0,947,26380,0.03589840788476118,0.0
hsa-miR-10401-3p,1.0,1.0,1.0,0,4,0.0,5,26380,0.00018953752843062926,0.0
hsa-miR-105-3p,1.0,1.0,1.0,0,4,0.0,456,26380,0.01728582259287339,0.0
hsa-miR-105-5p,0.1159030217046126,1.0,1.0,1,4,0.25,800,26380,0.030326004548900682,8.24375
hsa-miR-10522-5p,1.0,1.0,1.0,0,4,0.0,138,26380,0.005231235784685368,0.0
hsa-miR-10527-5p,1.0,1.0,1.0,0,4,0.0,39,26380,0.0014783927217589083,0.0
hsa-miR-106a-3p,1.0,1.0,1.0,0,4,0.0,351,26380,0.013305534495830175,0.0
hsa-miR-106a-5p,0.10550377833350408,1.0,1.0,3,4,0.75,8625,26380,0.3269522365428355,2.293913043478261
hsa-miR-106b-3p,1.0,1.0,1.0,0,4,0.0,1056,26380,0.0400303260045489,0.0
hsa-miR-106b-5p,0.12326318531487902,1.0,1.0,3,4,0.75,9144,26380,0.3466262319939348,2.163713910761155
hsa-miR-107,0.4106872698531395,1.0,1.0,2,4,0.5,8842,26380,0.3351781652767248,1.4917439493327302
hsa-miR-10a-3p,1.0,1.0,1.0,0,4,0.0,256,26380,0.009704321455648219,0.0
hsa-miR-10a-5p,0.08707938344726296,1.0,1.0,2,4,0.5,3483,26380,0.13203184230477635,3.786965259833477
hsa-miR-10b-3p,1.0,1.0,1.0,0,4,0.0,38,26380,0.0014404852160727823,0.0
hsa-miR-10b-5p,0.41925326143930614,1.0,1.0,1,4,0.25,3351,26380,0.12702805155420774,1.9680692330647567
hsa-miR-1179,1.0,1.0,1.0,0,4,0.0,421,26380,0.015959059893858984,0.0
hsa-miR-1180-3p,1.0,1.0,1.0,0,4,0.0,1552,26380,0.05883244882486732,0.0
hsa-miR-1182,1.0,1.0,1.0,0,4,0.0,85,26380,0.0032221379833206974,0.0
hsa-miR-1185-1-3p,1.0,1.0,1.0,0,4,0.0,189,26380,0.007164518574677786,0.0
hsa-miR-1185-2-3p,1.0,1.0,1.0,0,4,0.0,17,26380,0.0006444275966641395,0.0
hsa-miR-1185-5p,1.0,1.0,1.0,0,4,0.0,430,26380,0.016300227445034118,0.0
hsa-miR-1197,1.0,1.0,1.0,0,4,0.0,363,26380,0.013760424564063685,0.0
hsa-miR-12135,1.0,1.0,1.0,0,4,0.0,29,26380,0.0010993176648976498,0.0
hsa-miR-12136,1.0,1.0,1.0,0,4,0.0,16,26380,0.0006065200909780137,0.0
hsa-miR-122-3p,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-122-5p,0.05239768412470103,0.9110286080186807,1.0,2,4,0.5,2641,26380,0.10011372251705838,4.994320333207118
hsa-miR-1224-3p,1.0,1.0,1.0,0,4,0.0,7,26380,0.00026535253980288095,0.0
hsa-miR-1224-5p,1.0,1.0,1.0,0,4,0.0,217,26380,0.00822592873388931,0.0
hsa-miR-1225-3p,1.0,1.0,1.0,0,4,0.0,286,26380,0.010841546626231994,0.0
hsa-miR-1225-5p,0.013001375807869614,0.656347246303,1.0,2,4,0.5,1269,26380,0.048104624715693704,10.394011032308905
hsa-miR-1226-3p,1.0,1.0,1.0,0,4,0.0,313,26380,0.011865049279757392,0.0
hsa-miR-1226-5p,1.0,1.0,1.0,0,4,0.0,225,26380,0.008529188779378317,0.0
hsa-miR-1229-3p,1.0,1.0,1.0,0,4,0.0,28,26380,0.0010614101592115238,0.0
hsa-miR-122b-5p,1.0,1.0,1.0,0,4,0.0,44,26380,0.0016679302501895375,0.0
hsa-miR-1234-3p,1.0,1.0,1.0,0,4,0.0,140,26380,0.00530705079605762,0.0
hsa-miR-1236-3p,1.0,1.0,1.0,0,4,0.0,91,26380,0.0034495830174374525,0.0
hsa-miR-1237-3p,1.0,1.0,1.0,0,4,0.0,18,26380,0.0006823351023502654,0.0
hsa-miR-124-3p,0.32922612175708443,1.0,1.0,2,4,0.5,7628,26380,0.289158453373768,1.7291557420031463
hsa-miR-124-5p,1.0,1.0,1.0,0,4,0.0,661,26380,0.025056861258529187,0.0
hsa-miR-1244,1.0,1.0,1.0,0,4,0.0,40,26380,0.001516300227445034,0.0
hsa-miR-1246,1.0,1.0,1.0,0,4,0.0,457,26380,0.017323730098559514,0.0
hsa-miR-1247-5p,1.0,1.0,1.0,0,4,0.0,49,26380,0.0018574677786201668,0.0
hsa-miR-1248,1.0,1.0,1.0,0,4,0.0,58,26380,0.0021986353297952996,0.0
hsa-miR-1249-3p,1.0,1.0,1.0,0,4,0.0,235,26380,0.008908263836239575,0.0
hsa-miR-1250-5p,0.01702537580700519,0.6623846149003697,1.0,1,4,0.25,113,26380,0.004283548142532221,58.362831858407084
hsa-miR-1251-5p,1.0,1.0,1.0,0,4,0.0,87,26380,0.0032979529946929494,0.0
hsa-miR-1252-5p,1.0,1.0,1.0,0,4,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-1255a,1.0,1.0,1.0,0,4,0.0,388,26380,0.01470811220621683,0.0
hsa-miR-125a-3p,1.0,1.0,1.0,0,4,0.0,2414,26380,0.09150871872630781,0.0
hsa-miR-125a-5p,0.022256388973145153,0.6641426816436155,1.0,2,4,0.5,1678,26380,0.06360879454131918,7.860548271752086
hsa-miR-125b-1-3p,1.0,1.0,1.0,0,4,0.0,1937,26380,0.07342683851402577,0.0
hsa-miR-125b-2-3p,0.13863110954894417,1.0,1.0,1,4,0.25,966,26380,0.036618650492797576,6.8271221532091095
hsa-miR-125b-5p,0.25444588423027,1.0,1.0,1,4,0.25,1867,26380,0.07077331311599697,3.5324049276914837
hsa-miR-126-3p,1.0,1.0,1.0,0,4,0.0,1163,26380,0.04408642911296437,0.0
hsa-miR-126-5p,0.010742614040269662,0.656347246303,1.0,2,4,0.5,1150,26380,0.04359363153904473,11.469565217391304
