name,logrank_p_value,FDR,Bonferroni
A1BG,0.026971087064377057,0.10257513786496289,1.0
A1BG-AS1,0.18613945699084256,0.2961222484407673,1.0
ARHGEF25,0.32587515342815715,0.4017870942509393,1.0
A1CF,0.3089147096024668,0.3891776486208932,1.0
ARHGEF26,0.1317551470740416,0.24388577665751085,1.0
A2M,0.25768774047439147,0.3529575383815323,1.0
A2M-AS1,0.3405021240280527,0.41194528607535136,1.0
C1QBP,0.41703963298789837,0.45675136874056765,1.0
ARHGEF28,0.26838702180792384,0.3605050163060053,1.0
CELF1,0.05986047591815285,0.15747575190860788,1.0
ARHGEF3,0.22184489490290166,0.32537566630603637,1.0
CELF2,0.06287870760600671,0.1612642160653254,1.0
ARHGEF33,0.2905690493813572,0.3772598247560122,1.0
CELF4,0.02639036542683725,0.10143220642960972,1.0
CXCL2,0.06871111921936289,0.17000673049768153,1.0
C1QL4,0.061188813805398125,0.15918600725729662,1.0
AAAS,0.0009638769250273233,0.020169917560347514,1.0
CELF5,0.3338831204643731,0.40794871369796154,1.0
C1QTNF1,0.39827641022315263,0.4462491654956687,1.0
CXCL3,0.04482168817350737,0.1342170235261932,1.0
AACS,0.026029080242283974,0.10066739585611649,1.0
ARHGEF37,0.0745717460849799,0.17753702650484313,1.0
CELF6,0.22652862960140002,0.32904176065438007,1.0
EHMT2,0.004664402675608888,0.0406098248137189,1.0
C1QTNF1-AS1,0.09655184106955715,0.20561477261418493,1.0
CXCL5,0.07524418764344873,0.17845845607297944,1.0
AADAC,0.1549605078677459,0.26712633693821475,1.0
CELP,0.20278574109557032,0.30997224902163667,1.0
EI24,0.0464368644441001,0.13628877902561148,1.0
CXCL6,0.15008624396633005,0.2621031321570187,1.0
AADACP1,0.025141769196872,0.09906655924637973,1.0
ARHGEF39,0.00019557095384818203,0.010980710371982007,1.0
CELSR1,0.28331976089718186,0.37187757363015544,1.0
EID1,0.3822780504704584,0.4375106134667134,1.0
C1QTNF3,0.1920332786012662,0.301298818025337,1.0
CXCL8,0.00041698347625042327,0.014198080938863421,1.0
AADAT,0.4398919951950646,0.46931816181028174,1.0
EID2,0.07434773567636214,0.17737208670899024,1.0
C1QTNF3-AMACR,0.2648351269611332,0.35818228359820553,1.0
CXCL9,0.25373333665527065,0.3498402103868801,1.0
AAED1,0.040182318951684844,0.12678662329983395,1.0
ARHGEF40,0.08000574810057523,0.18541203507029386,1.0
CELSR3,1.9400858041965432e-05,0.004305804631880501,0.2668782032252765
EID2B,0.3069942945947395,0.3882873773855495,1.0
C1QTNF4,0.15869452996075153,0.27045704712571617,1.0
CXCR1,0.08017897710858897,0.1856804729134259,1.0
ARHGEF5,0.3704323903361728,0.4309597396367044,1.0
EID3,0.029202975334840314,0.10701015682100783,1.0
CXCR2,0.3207285504694225,0.3982256467422489,1.0
AAK1,0.46370814167726804,0.48207143265662783,1.0
ARHGEF6,0.07335934977287888,0.17622992194699383,1.0
CEMP1,0.13087886336700708,0.24320131701389466,1.0
EIF1,0.04783539586243289,0.13879226025504987,1.0
C1QTNF6,0.023631493088860155,0.09635604417642951,1.0
ARHGEF7,0.18079024788661147,0.2920367083051162,1.0
EIF1AD,0.00031200016002857177,0.013008827138023388,1.0
CEND1,0.20845902423108081,0.3147708383449778,1.0
