name,logrank_p_value,FDR,Bonferroni
CELF5,0.025041750017386382,0.04779591174536748,1.0
CELP,0.013476464427487194,0.04779591174536748,1.0
CXCR1,0.04919686401116362,0.04969866595407267,1.0
ARHGEF39,0.02853813999358698,0.04779591174536748,1.0
EIF1AX,0.04226417955036992,0.04868140566493338,1.0
EIF1B,0.0030492848827544305,0.03958144577229722,1.0
CXorf40B,0.02881082335521333,0.04779591174536748,1.0
CENPH,0.0391489303092593,0.04868140566493338,1.0
ARID3B,0.03413647479823072,0.048566271532638074,1.0
EIF2B4,0.028862100076269475,0.04779591174536748,1.0
AATF,0.016817386597502634,0.04779591174536748,1.0
ARIH2OS,0.01803393163718194,0.04779591174536748,1.0
EIF2S3,0.03539598756259999,0.048566271532638074,1.0
C20orf24,0.0069936649525460075,0.04446830976287856,1.0
CEP170,0.027105458162395263,0.04779591174536748,1.0
EIF3K,0.03674437777838932,0.04868140566493338,1.0
ABCA9,0.042912329270561406,0.04868140566493338,1.0
ARL8B,0.010036737012687211,0.047485191378590065,1.0
ARMC10,0.0030491751592343886,0.03958144577229722,1.0
CYP1B1-AS1,0.02998625520262808,0.04779591174536748,1.0
CYP21A1P,0.0004641642791150788,0.036961949858313886,0.5393588923317215
CYP21A2,0.004359903781115022,0.041130636835077936,1.0
EIF4H,0.04919546666739477,0.04969866595407267,1.0
EIF5B,0.010703738420011693,0.047485191378590065,1.0
EIF6,0.03518664467240395,0.048566271532638074,1.0
ABCC5,0.021495776619310788,0.04779591174536748,1.0
CYP2C19,0.0014088183145438873,0.036961949858313886,1.0
CYP2C8,0.03534487773145024,0.048566271532638074,1.0
CYP2C9,0.0014119884494998738,0.036961949858313886,1.0
CERS3,0.041813403039072536,0.04868140566493338,1.0
CES3,0.049937144857046596,0.049937144857046596,1.0
ABCG8,0.024199660506874453,0.04779591174536748,1.0
ARRB2,0.04850076268993042,0.04948014595759363,1.0
C3orf62,0.009522222589708272,0.04738685648771272,1.0
C3orf67,0.03964791360770685,0.04868140566493338,1.0
ELMOD1,0.04813329282304224,0.04948014595759363,1.0
CYP4F12,0.005043535465469476,0.04156445539628036,1.0
