name,logrank_p_value,FDR,Bonferroni
A1BG-AS1,0.004650941149464493,0.019566028283954075,1.0
ARHGEF26,0.019959643838995428,0.03411206371621417,1.0
C1QBP,0.004012163567841186,0.018444322952452526,1.0
EHMT2,0.025493021683632416,0.03768618452368736,1.0
CELSR3,0.025938570351740027,0.03790337422028176,1.0
EIF1B,0.04760091896748457,0.04889576261815449,1.0
CENPA,0.00385513477115004,0.018271802872540148,1.0
C1QTNF7,0.02473066229771844,0.037195666575800326,1.0
EIF2AK1,0.03980777066449589,0.04582354779754559,1.0
AAMP,0.0012141802046428223,0.012423805190732362,1.0
AANAT,0.015390203194738036,0.03078858276435002,1.0
CENPE,0.04215509420571783,0.04655832474729915,1.0
C1R,0.043156182511865065,0.046880620180697254,1.0
AAR2,0.009513577282213222,0.025583294485854086,1.0
CENPF,0.004271732321835577,0.01881935406230896,1.0
EIF2B1,0.010190363309663535,0.02592246834336131,1.0
C1S,0.0057819400940086595,0.020904832774790716,1.0
CENPJ,0.03242950917029922,0.0417217762897716,1.0
AARSD1,0.03794082194593363,0.04500683889771932,1.0
EIF2B5,0.00034171596347028205,0.007823936496825123,1.0
CENPL,0.0018230134823737883,0.014169539392359792,1.0
CENPM,0.017046062461941004,0.03189916235047043,1.0
AASS,0.006551137386811442,0.02192005041241128,1.0
EIF2S2,0.002410744204099062,0.015346960453849584,1.0
CENPO,0.021545619292599735,0.03539495919290967,1.0
C20orf196,0.017883955790666928,0.032492150842994644,1.0
AATF,0.005563042300018133,0.020650962265792307,1.0
EIF2S3,0.02025254544588355,0.034316813116636015,1.0
EIF3B,0.00010087241635655928,0.004978930155152019,0.31996730468300605
C20orf24,0.026277923452312703,0.03800353281432311,1.0
ABAT,0.022604245283168914,0.03603799612978769,1.0
C20orf27,0.008019134866981737,0.02379660776388653,1.0
EIF3D,0.017574639762202707,0.03235817504356392,1.0
CYB561D1,0.021895150640529337,0.03572760577286434,1.0
CENPW,0.017504381593274262,0.03231891642250638,1.0
EIF3E,0.04272020062224738,0.046612982788109,1.0
EIF3F,0.006758454492270782,0.02223204288967647,1.0
ARL16,0.0017094374705574906,0.013987621432251145,1.0
CYB5A,0.022834627838388032,0.036125406236093185,1.0
EIF3H,0.03239349279917313,0.0417217762897716,1.0
ARL2,0.008046539349559866,0.02379660776388653,1.0
